# csv2chart.title=Multiple Eval vs. Single Compile + Multiple Eval
n, Multi Eval, Compile + Multi Eval
0, 0.8830807999999999, 22.3498886
1, 25.858191999999995, 27.832550799999996
2, 49.840869100000006, 22.2824912
3, 70.80298609999998, 20.882116699999997
4, 81.2945923, 19.2181182
5, 93.836726, 20.8053959
6, 114.57191930000002, 17.088302700000003
7, 127.3328774, 17.216737300000002
8, 139.5515738, 18.0586127
9, 157.77062100000003, 22.585779799999997
10, 169.0850219, 18.359057
